id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,city
2213748,LUX VILLA SUNSET SUITE ~ HOT-TUB ~ DWTN 2M ~ RURAL,1994122,Marc & Fay,,28805,35.60722,-82.53155,Private room,38,30,252,10/8/2020,3.17,6,81,Asheville
2222067,Sassy Blue Room in Southslope,11336944,Sharon,,28801,35.58225,-82.55814,Entire home/apt,92,2,231,21/9/2020,4.11,2,0,Asheville
2254521,The Mimosa Room/private entrance/private bath.,546222,Martha,,28806,35.56893,-82.56834,Private room,65,28,34,25/6/2020,0.42,1,327,Asheville
2283071,"Serene Cozy Getaway, Walk to West Avl.",4836597,Karen,,28806,35.57816,-82.60315,Private room,29,1,52,15/3/2020,0.66,1,267,Asheville
2295996,Charming Downtown,7535860,Rita,,28801,35.60207,-82.55885,Private room,80,29,501,19/2/2020,6.25,3,0,Asheville
2296152,Victorian Cottage Downtown Green Rm,7535860,Rita,,28801,35.60403,-82.56101,Private room,88,1,748,18/8/2020,9.3,3,0,Asheville
2326086,Downtown Artist Loft,2307713,Krista,,28801,35.59541,-82.55329,Entire home/apt,196,1,433,19/9/2020,5.38,3,312,Asheville
2411109,Victorian Cottage Downtown Blue Rm,7535860,Rita,,28801,35.60048,-82.55759,Private room,87,1,791,6/9/2020,9.99,3,329,Asheville
2432326,Heaven Zen (guest house),12432758,Theresa,,28804,35.6163,-82.55864,Entire home/apt,83,1,236,7/9/2020,2.95,1,312,Asheville
2432333,Laurelwood,12430753,Anne,,28805,35.59171,-82.51076,Entire home/apt,81,2,98,19/9/2020,2.35,1,72,Asheville
2454666,"The Hideaway, W. Asheville.  2 BR Apt w/ Hot Tub!",10240937,Joe,,28806,35.57943,-82.58682,Entire home/apt,129,2,209,24/9/2020,2.64,1,299,Asheville
2477628,River Arts Eco-Cottage - Close to Downtown/Mission,8035294,Alicia,,28801,35.58939,-82.56782,Entire home/apt,75,90,169,21/6/2020,2.15,2,137,Asheville
2569529,Downtown Asheville 2 bed/2bath unit for rent,8671251,Heather,,28801,35.60045,-82.55587,Entire home/apt,85,180,12,4/7/2016,0.15,1,365,Asheville
2607570,New Cozy Garage Apt/ Great Location,13238922,Irma,,28801,35.60606,-82.54351,Entire home/apt,79,30,61,7/11/2019,0.78,1,234,Asheville
2761044,Angel 6 Miles To Down Town,7073079,Athena,,28803,35.558,-82.478,Entire home/apt,500,3,31,16/7/2020,0.41,1,61,Asheville
2925486,Private&charming 1-bdrm apt on golfcourse-hot tub,14937363,Melanie,,28805,35.58693,-82.50327,Entire home/apt,139,1,266,28/8/2020,3.42,1,0,Asheville
2943116,Beautiful W.Asheville Apartment 12 min to downtown,15025836,Robert,,28806,35.5545,-82.6244,Entire home/apt,100,2,176,16/3/2020,2.27,1,266,Asheville
2949571,Happy Haven ART Studio 2 Bdrms No Cleaning Fee :),15056995,Celeste & Esiris,,28806,35.59595,-82.63034,Entire home/apt,129,2,222,18/3/2020,2.88,2,1,Asheville
3040444,Private Suite. 10 min walk to Town,12874214,David,,28801,35.60329,-82.55617,Entire home/apt,93,2,444,13/9/2020,5.77,3,337,Asheville
3066648,Cozy Downtown Cottage - Close to Mission Hospital,8035294,Alicia,,28801,35.59215,-82.5664,Entire home/apt,56,60,180,15/5/2020,2.34,2,101,Asheville
